hub_file,slug,title,highlight,values,flags,verified
numbers.csv,goukaku-kamoku,試験合格点・科目構成,5科目・各科目合格,5科目 | 20問（目安） | 各科目60%以上 | 5科目すべて合格,verify_official,OK
numbers.csv,juken-tesuryou,受験手数料・システム利用料,"6,000円+660円（例）","6,000円 | 660円 | 140円 | コンビニ・クレジット等",verify_official,OK
numbers.csv,tenko-kiroku-hozon,点呼時刻・記録保存,記録保存1年（例）,運転開始前 | 運転終了後 | 1年 | 事業所等,verify_official,OK
numbers.csv,unten-kyukei-jikan,運転時間・休息時間,連続4時間・休息8時間,原則4時間以内 | 30分以上 | 原則8時間以上 | 1日・1週等の上限,verify_official,OK
numbers.csv,sokudo-kijun,速度制限の数値,60・50・30km/h等,60km/h | 40km/h | 100km/h | 表示速度以下,verify_official,OK
numbers.csv,shuki-noudo,酒気帯びの濃度基準,0.15mg/L・0.25mg/L,0.15mg/L以上 | 0.25mg/L以上等 | おそれの確認 | 数値の組合せ正誤,verify_official,OK
numbers.csv,nichijo-tenken-shuki,日常点検の周期,毎運行前・定期は月次等,毎回（運行前） | 1か月・3か月等 | 運転開始前 | 点検整備記録,maybe_missing_digit;verify_official,OK
numbers.csv,shiken-2026,2026年試験日程（目安）,年2回・8月・3月頃,年2回 | 8月上旬〜下旬 | 2〜3月 | CBT,verify_official,OK
numbers.csv,sennin-yoken,運行管理者の選任要件,台数により選任,30台以上で選任 | 一定台数以上 | 選任届 | 運行管理者試験合格,verify_official,OK
numbers.csv,ihan-tensu,違反点数,点数加算・停止・取消,違反の種類ごと | 一定点数で | 重大違反等 | 点数・期間の正誤,concept_page;maybe_missing_digit,
numbers.csv,s31-kon-unkan-kanri-num,運行管理者制度｜論点早見（論点整理）,運行管理者制度の数値整理 — 記録・保存：学習記録 / 試験の確認点：過去問で型確認,学習記録 | 過去問で型確認 | 運行管理者制度の数値整理 | 数値整理は試験要項・省令で確認 | 運行管理者,concept_page,
numbers.csv,s31-kon-tenko-gimu-num,点呼義務の論点数値（論点整理）,点呼義務の数値整理 — 確認テーマ：点呼義務の数値整理 / 数値・条件：数値整理は試験要項・省令で確認,点呼義務の数値整理 | 数値整理は試験要項・省令で確認 | 点呼 | 学習記録 | 過去問で型確認,concept_page;maybe_missing_digit,
numbers.csv,s31-kon-shuki-unten-num,酒気帯び運転｜論点早見（論点整理）,酒気帯び運転の数値整理 — 数値・条件：数値整理は試験要項・省令で確認 / 関連制度：酒気帯び,数値整理は試験要項・省令で確認 | 酒気帯び | 学習記録 | 過去問で型確認 | 酒気帯び運転の数値整理,concept_page,
numbers.csv,s31-kon-sokudo-kisei-num,速度規制の論点数値（論点整理）,速度規制の数値整理 — 関連制度：速度制限 / 記録・保存：学習記録,速度制限 | 学習記録 | 過去問で型確認 | 速度規制の数値整理 | 数値整理は試験要項・省令で確認,concept_page,
numbers.csv,s31-kon-ippan-tokutei-num,一般貨物と特定貨物｜論点早見（論点整理）,一般貨物と特定貨物の数値整理 — 関連制度：一般貨物自動車運送事業 / 記録・保存：学習記録,一般貨物自動車運送事業 | 学習記録 | 過去問で型確認 | 一般貨物と特定貨物の数値整理 | 数値整理は試験要項・省令で確認,concept_page,
numbers.csv,s31-kon-unko-kiroku-num,運行記録の論点数値（論点整理）,運行記録の数値整理 — 関連制度：運行記録 / 記録・保存：学習記録,運行記録 | 学習記録 | 過去問で型確認 | 運行記録の数値整理 | 数値整理は試験要項・省令で確認,concept_page,
numbers.csv,s31-kon-kyukei-kikan-num,休息時間の論点数値（論点整理）,休息時間の数値整理 — 確認テーマ：休息時間の数値整理 / 数値・条件：数値整理は試験要項・省令で確認,休息時間の数値整理 | 数値整理は試験要項・省令で確認 | 休息期間 | 学習記録 | 過去問で型確認,concept_page;maybe_missing_digit,
numbers.csv,s31-kon-seibi-kanri-num,整備と運行の論点数値（論点整理）,整備と運行の数値整理 — 記録・保存：学習記録 / 試験の確認点：過去問で型確認,学習記録 | 過去問で型確認 | 整備と運行の数値整理 | 数値整理は試験要項・省令で確認 | 整備管理者,concept_page,
numbers.csv,s31-kon-jigyoyo-kisei-num,事業用規制の論点数値（論点整理）,事業用規制の数値整理 — 数値・条件：数値整理は試験要項・省令で確認 / 関連制度：事業用自動車,数値整理は試験要項・省令で確認 | 事業用自動車 | 学習記録 | 過去問で型確認 | 事業用規制の数値整理,concept_page,
numbers.csv,s31-kon-sennin-todoke-num,選任と届出の論点数値（論点整理）,選任と届出の数値整理 — 確認テーマ：選任と届出の数値整理 / 数値・条件：数値整理は試験要項・省令で確認,選任と届出の数値整理 | 数値整理は試験要項・省令で確認 | 運行管理者選任届 | 学習記録 | 過去問で型確認,concept_page,
numbers.csv,s32-kon-unkan-kanri-num,運行管理者制度｜手続早見（手続確認）,運行管理者制度の数値整理 — 記録・保存：学習記録 / 試験の確認点：過去問で型確認,学習記録 | 過去問で型確認 | 運行管理者制度の数値整理 | 数値整理は試験要項・省令で確認 | 運行管理者,concept_page,
numbers.csv,s32-kon-tenko-gimu-num,点呼義務の手続数値（手続確認）,点呼義務の数値整理 — 関連制度：点呼 / 記録・保存：学習記録,点呼 | 学習記録 | 過去問で型確認 | 点呼義務の数値整理 | 数値整理は試験要項・省令で確認,concept_page;maybe_missing_digit,
numbers.csv,s32-kon-shuki-unten-num,酒気帯び運転｜手続早見（手続確認）,酒気帯び運転の数値整理 — 数値・条件：数値整理は試験要項・省令で確認 / 関連制度：酒気帯び,数値整理は試験要項・省令で確認 | 酒気帯び | 学習記録 | 過去問で型確認 | 酒気帯び運転の数値整理,concept_page,
